doc_id,card_id_hktmo,posting_date,billing_amount,txn_typ,mcc,trans_details,merchant_id
5080b016-c3b7-4abe-a5b0-811ff104dd9e,3f654d49-cc22-4a67-acbb-f09ef0baf291,20240129,5801336,Retail,5411,THANH TOAN POS,GRAB
aba27bf4-3be0-47b2-b5b3-a261e2447985,d9d3a17d-4ad5-413b-bee0-33fb0c885e17,20240118,6356598,Retail,4121,THANH TOAN POS,XANHSM
22454197-6cba-4abb-bcb8-7e385f3ed05c,29e46d7b-07d3-4b19-adea-09ae7a0bfd20,20240112,6015449,Retail,4121,THANH TOAN POS,XANHSM
319abc6a-0413-4602-b903-c7a91ba618b2,003d8bde-3f97-46a2-ba63-f2da3ff35efc,20240119,2541573,Retail,5812,THANH TOAN POS,GRAB
3df3d49d-934a-4454-b6d4-b1a7e11f6bfe,0a2f1a8f-e02c-44f0-8c57-33c1f829b000,20240101,8219686,Retail,5411,THANH TOAN POS,XANHSM
a4e9d45e-bf34-4054-ae03-36424046844a,f90cba58-0554-4bea-924e-f50117e95923,20240103,1209932,Retail,5812,THANH TOAN POS,GRAB
f6300f1a-f596-41d4-8016-ec84b01bda62,a72d48fb-da4e-46cd-ae18-f2caf61802e3,20240128,452236,Retail,4121,THANH TOAN POS,GRAB
35b6557d-b812-4721-b37b-a318e99d06b3,77fcc560-6653-4d58-b9bb-3ab13f374acb,20240123,2585935,Retail,5812,THANH TOAN POS,XANHSM
51dc08ca-c30e-4722-8aaa-ac14363eef3b,627fe9d0-286f-4221-82d0-597b36049287,20240129,4784891,Retail,4121,THANH TOAN POS,SHOPEE
f0d712b4-0aa2-4ec1-8f9f-1b62b1102fe9,91d1e23e-5d70-4d93-97d1-8a733b83f452,20240105,8578284,Retail,5411,THANH TOAN POS,XANHSM
bdb3c209-4700-43a3-8bc8-dd1baadacbee,a92f8f62-ae28-4a81-91d9-901873c55b53,20240102,2188589,Retail,5411,THANH TOAN POS,GRAB
47fa41ba-18cc-464e-a6fc-0b3ee55fc7b6,6d109986-80ea-4309-9c5b-cda9cc4debfd,20240112,8158054,Retail,5812,THANH TOAN POS,SHOPEE
f874f440-1f02-49cf-9f50-01bd5844a578,2ae697b0-9a71-4455-9e16-9a15b052198b,20240103,5999120,Retail,5411,THANH TOAN POS,GRAB
78a41d20-f947-4b54-8b83-dac432d5374b,e10a5a32-f7f1-461f-aa43-3da8fa7a6e55,20240112,7608041,Retail,5411,THANH TOAN POS,SHOPEE
