cust_cd,data_dt,casa_bal,term_deposit_bal,toi_amt
8d0c60c3-b1b7-4fcc-af00-7831cfe0e861,20240101,31505596,100000000,278707
168b50cf-d032-4f75-b051-bf61bd7d211f,20240101,52367239,0,909360
f0fee52a-705d-4c4a-9a0f-824b09e083a8,20240101,48537237,0,649242
33c7440b-f111-4f32-b6e9-9b82445867c3,20240101,35390582,100000000,81703
fe107c90-aceb-4048-b5e7-ce09917f3913,20240101,89145506,100000000,135378
c347d437-e8e3-4239-8fc2-2400389f3541,20240101,16587792,0,155676
09b7a41a-9562-40fb-b6c4-28e4c60969a2,20240101,14950863,100000000,630421
e96ad644-5dae-4a2a-8288-eb3fc8325659,20240101,57690953,0,735414
75671055-4a34-4f28-8625-213e4c269374,20240101,65749422,100000000,859643
1d81c18e-3788-4e28-958f-233bd6705f25,20240101,19461925,0,940636
96237163-1944-4ec2-b515-8462b718bf25,20240101,39071744,0,201704
3ef47592-ddba-4361-bdb9-c57888e0a749,20240101,94656384,50000000,309772
ac9e829a-a85d-47df-bbb0-1aa53e243b41,20240101,24661742,0,240322
5f5fc257-aada-4bcd-9f5a-4ea43365c505,20240101,66836070,0,358761
e9bd9821-52c6-4b5b-a524-5d6cadb9b059,20240101,74014939,50000000,914665
fe343b2d-60fc-4237-a031-b427f0eecab8,20240101,44812869,50000000,575112
edfcc4a2-f851-46f6-a9e1-97c512e7a60a,20240101,93752598,100000000,738191
b76fd233-c601-4279-b979-69ffdf2fb4b2,20240101,73665673,100000000,490119
04bd1199-52b1-4fe6-bb26-1a6de048976e,20240101,45792457,0,28857
8c32cda3-e79f-4083-a5e9-190a3a3a7152,20240101,56933520,100000000,64195
d86801cb-b3fd-42ff-93ed-7ec57fdd6fc8,20240101,69261344,100000000,537923
9d990326-e6d7-4ceb-b0bc-0b854aac7950,20240101,59219018,0,718789
d0d6039e-44fc-4f33-ae84-3353aaf75503,20240101,87869758,50000000,215330
62bb43b1-b82a-4616-a153-7b6c8197723d,20240101,35688866,50000000,721909
0ebebb64-3d5b-4a3a-a83b-e2a1a2080669,20240101,29988574,0,810665
6d92aa6d-bb9c-4cde-bc33-268bff334ba7,20240101,21383888,0,411897
77305e12-cd07-42e7-94ba-59be18800bdf,20240101,3778296,0,746419
adca6bc9-36f4-4cb5-a1a3-7e74f062ef46,20240101,4301396,0,404029
fe546c94-2d8b-43ba-a5c4-aa246028ee90,20240101,87005519,0,678350
e26d1b8f-59e9-485d-a88e-ce345722944d,20240101,67839314,0,763997
471bf9ff-634a-4150-9ee3-c7f4535595c3,20240101,66053241,100000000,991926
84b35b31-503b-4533-a14a-a0a35b18cba3,20240101,61464281,100000000,345396
ef1151dd-6525-482f-89aa-076200e46e1c,20240101,84921914,100000000,411040
d520bc0e-92ba-493a-9f6a-b6b3bd1ee8ea,20240101,48026692,50000000,165620
e62033a3-bd88-4e42-bd7b-03d868047119,20240101,87041082,0,204073
899a8678-2e46-4119-98ec-ac97a8094b68,20240101,35944502,0,693395
239a4298-5042-4df0-9794-751d44706ad0,20240101,92670750,100000000,917045
a3b20d88-74bf-4d4c-a26d-9af5a8fde5ae,20240101,69865698,50000000,394604
71f4fb3e-89a9-4501-b14d-ee5806e152fd,20240101,25717713,100000000,179844
3ce90799-e179-47fe-8e1b-621ece133ce2,20240101,56408492,0,285099
db8577a5-aa9e-4f5e-8737-46723b22afcf,20240101,53303056,0,455051
bac7279d-d832-4006-852e-ca8ea927f82f,20240101,13789882,100000000,290650
ef40016c-d62c-447d-baad-f2c4dae000f5,20240101,59124290,100000000,233579
3bae383a-61a0-48b9-ac34-b3490b30a027,20240101,31478562,0,735984
bd8f2a0f-13ae-494b-9d0a-42c65d3bf729,20240101,5234876,100000000,7844
b96afadc-8ce8-4f4e-962b-5d7d5687e5bc,20240101,94865615,0,539230
4a280457-0e4d-44f5-ac36-ad7723987e4e,20240101,64149036,100000000,793766
a7627627-6415-44b9-a818-c8b6f586305c,20240101,87691893,50000000,266228
f4e5e450-1e1d-4b65-bb96-4eabb55a8cc6,20240101,67605600,0,603291
9c0ecf50-a82b-4cd3-a3b1-51b1ef67a945,20240101,35698369,50000000,668900
7e0f2087-c939-423a-ae5b-5ba9d5241ab2,20240101,51268807,100000000,655024
eef9d108-9f33-43cd-85ce-13aa73b4fcb6,20240101,67574676,50000000,445849
d7233318-bc2e-42a4-9e7c-07a9cfe519ca,20240101,96025232,100000000,346577
2010023b-fa7e-4851-a6ce-b40b3baddca9,20240101,25366945,50000000,835924
f612c6ee-efd7-43db-9f5d-cf8b46afdc31,20240101,87497705,50000000,758445
16083ac4-a1fa-4fb5-adc5-5062847473d3,20240101,92407780,50000000,321255
92d4a1f5-9c8c-42b4-b1c0-3a4b9618a160,20240101,67041551,0,103019
77e4d805-e322-462f-84cc-edf784e37eed,20240101,93126662,50000000,71807
c956a7fd-b0f6-4d8c-b0bb-7319144dfe4b,20240101,39787858,100000000,94275
18cfc2e3-1f76-459f-b906-a00171b37822,20240101,95301617,100000000,582869
6a9f29aa-6d53-4433-b529-6b0e54e71848,20240101,70278287,0,51662
ac22a441-95c8-498a-af70-4901586a93ce,20240101,4200576,0,336926
ce760f0e-35d6-4670-a0a6-ff82658a6a57,20240101,90687283,100000000,753199
85b76f15-8ce3-416b-906b-1680aaa249fb,20240101,48447280,50000000,294348
2c4efcc3-9e45-418d-b5ec-12d702cf1f57,20240101,46032698,100000000,763308
bd331a97-c3ce-4a70-9b4a-637758c46fc2,20240101,56646660,0,745467
d385ca29-4821-4f66-a49e-61960fe40e14,20240101,14938454,0,245827
bf858dba-e86d-40ce-a49a-c8cac443650e,20240101,46916604,100000000,728822
f09fc2bd-8251-4e8f-a051-8b6452a8d474,20240101,83112721,50000000,747776
2d7d3596-30ec-4617-9683-b5e421b629f9,20240101,1548245,50000000,397453
d6c6ada4-3d7c-458b-8246-5a45be0d90f8,20240101,27291716,0,210420
529515dc-b4a2-40e2-97a3-a49301e89674,20240101,245458,100000000,521270
e5fec494-ac66-4b30-a159-81e973c7b031,20240101,41571130,100000000,921397
2df11ad4-46d8-4255-8aff-32cc75694565,20240101,72831551,0,639616
e7366e63-4bde-4f50-8129-0e4b6117d1a8,20240101,79877182,100000000,172922
7611aab8-7097-439b-ac28-9125b64e0333,20240101,94518976,0,682756
13a369cb-3c52-4155-bd56-1b07d60f974d,20240101,60850461,50000000,427203
1fb2da1c-b958-4b3e-82b3-52cef7d931b5,20240101,25462686,50000000,591528
5d2107c9-b640-4f99-99b5-240cb99e2e43,20240101,92414794,100000000,734064
59a7aca3-5047-4185-a6f2-8369d7fd2b0d,20240101,77531575,50000000,514947
e97bbe78-5310-4130-899f-70b05dc57e6f,20240101,57442848,50000000,813983
95c97527-b01b-473e-ad0a-a41b86594a3b,20240101,69564021,0,722155
c0c956ef-c3f3-48eb-92d3-67c8910342d8,20240101,92431635,0,615073
79bf7dea-e583-4ab3-9d1b-0b96fc486b91,20240101,71239402,100000000,150792
