card_id_hktmo,client_number_hktmo,lvl_1,lvl_2,lvl_3,lvl_4,from_date
CARD_0001,CIF_1001,Debit,Debit Lotusmiles Virtual,Visa,Privilege Customer,2025-09-03
CARD_0002,CIF_1002,Credit,Credit Platinum Cashback,Visa,Privilege Customer,2025-03-20
CARD_0003,CIF_1003,Credit,Credit Gold,Visa,Privilege Customer,2025-06-16
CARD_0004,CIF_1004,Credit,Credit Platinum Cashback,Visa,Privilege Customer,2025-10-08
CARD_0005,CIF_1005,Debit,Debit Digi,Visa,UUTIEN Customer,2025-02-01
CARD_0006,CIF_1006,Credit,Credit Gold,Visa,UUTIEN Customer,2025-09-16
CARD_0007,CIF_1007,Debit,Debit Classic,Visa,Privilege Customer,2025-03-16
CARD_0008,CIF_1008,Credit,Credit Signature Privilege,Visa,None,2025-08-22
CARD_0009,CIF_1009,Credit,Credit Platinum Cashback,Visa,UUTIEN Customer,2025-01-07
CARD_0010,CIF_1010,Debit,Debit Digi,Visa,Privilege Customer,2025-07-16
CARD_0011,CIF_1011,Debit,Debit Digi,Visa,UUTIEN Customer,2025-08-23
CARD_0012,CIF_1012,Debit,Debit Privilege Signature,Visa,Privilege Customer,2025-08-16
CARD_0013,CIF_1013,Debit,Debit Classic,Visa,UUTIEN Customer,2025-05-22
CARD_0014,CIF_1014,Debit,Debit Privilege Signature,Visa,Privilege Customer,2025-09-21
CARD_0015,CIF_1015,Debit,Debit Digi,Visa,UUTIEN Customer,2025-09-21
CARD_0016,CIF_1016,Debit,Debit Classic,Visa,Privilege Customer,2025-05-21
CARD_0017,CIF_1017,Credit,Credit Gold,Visa,UUTIEN Customer,2025-12-05
CARD_0018,CIF_1018,Credit,Credit Signature Privilege,Visa,None,2025-10-28
CARD_0019,CIF_1019,Debit,Debit Privilege Signature,Visa,Privilege Customer,2025-04-06
CARD_0020,CIF_1020,Credit,Credit Gold,Visa,Privilege Customer,2025-07-20
CARD_0021,CIF_1021,Debit,Debit Lotusmiles Virtual,Visa,UUTIEN Customer,2025-06-20
CARD_0022,CIF_1022,Debit,Debit Lotusmiles Virtual,Visa,Privilege Customer,2025-10-09
CARD_0023,CIF_1023,Credit,Credit Gold,Visa,None,2025-01-22
CARD_0024,CIF_1024,Debit,Debit Privilege Signature,Visa,Privilege Customer,2025-01-16
CARD_0025,CIF_1025,Credit,Credit Infinite,Visa,UUTIEN Customer,2025-09-13
CARD_0026,CIF_1026,Credit,Credit Signature Privilege,Visa,None,2025-06-04
CARD_0027,CIF_1027,Debit,Debit Privilege Signature,Visa,None,2025-10-26
CARD_0028,CIF_1028,Debit,Debit Privilege Signature,Visa,UUTIEN Customer,2025-03-16
CARD_0029,CIF_1029,Debit,Debit Lotusmiles Virtual,Visa,Privilege Customer,2025-03-12
CARD_0030,CIF_1030,Credit,Credit Gold,Visa,UUTIEN Customer,2025-07-13
CARD_0031,CIF_1031,Credit,Credit Gold,Visa,None,2025-03-14
CARD_0032,CIF_1032,Debit,Debit Lotusmiles Virtual,Visa,Privilege Customer,2025-02-18
CARD_0033,CIF_1033,Credit,Credit Infinite,Visa,None,2025-04-30
CARD_0034,CIF_1034,Credit,Credit Infinite,Visa,None,2025-05-20
CARD_0035,CIF_1035,Credit,Credit Infinite,Visa,UUTIEN Customer,2025-08-27
CARD_0036,CIF_1036,Credit,Credit Gold,Visa,Privilege Customer,2025-06-18
CARD_0037,CIF_1037,Credit,Credit Signature Privilege,Visa,UUTIEN Customer,2025-07-09
CARD_0038,CIF_1038,Debit,Debit Lotusmiles Virtual,Visa,UUTIEN Customer,2025-04-10
CARD_0039,CIF_1039,Debit,Debit Lotusmiles Virtual,Visa,None,2025-06-06
CARD_0040,CIF_1040,Credit,Credit Gold,Visa,None,2025-11-08
CARD_0041,CIF_1041,Credit,Credit Gold,Visa,None,2025-02-27
CARD_0042,CIF_1042,Credit,Credit Gold,Visa,UUTIEN Customer,2025-09-26
CARD_0043,CIF_1043,Credit,Credit Gold,Visa,None,2025-05-13
CARD_0044,CIF_1044,Debit,Debit Lotusmiles Virtual,Visa,Privilege Customer,2025-12-23
