doc_id,card_id_hktmo,posting_date,billing_amount,txn_typ,mcc,trans_details,merchant_id
TXN_00000,CARD_0675,2025-04-30,4330500,ATM,5812,PAYMENT FOR HAIDILAO,MERC_6339
TXN_00001,CARD_0387,2025-11-25,3818786,POS,5812,PAYMENT FOR MANWAH,MERC_6129
TXN_00002,CARD_0771,2025-05-26,2252424,ATM,4121,PAYMENT FOR GRAB FOOD,MERC_4884
TXN_00003,CARD_1185,2025-12-11,4195384,ATM,4121,PAYMENT FOR XANH SM TAXI,MERC_1865
TXN_00004,CARD_0325,2025-07-25,1312350,ATM,4511,PAYMENT FOR VIETNAM AIRLINES,MERC_5228
TXN_00005,CARD_1424,2025-11-13,2077984,POS,5311,PAYMENT FOR TIKTOKSHOP,MERC_9314
TXN_00006,CARD_1096,2025-04-05,2156276,ECOM,4511,PAYMENT FOR VIETNAM AIRLINES,MERC_3814
TXN_00007,CARD_0206,2025-02-26,1368712,ATM,4722,PAYMENT FOR TRIP.COM,MERC_1713
TXN_00008,CARD_0211,2025-05-13,850632,ATM,5812,PAYMENT FOR HAIDILAO,MERC_2863
TXN_00009,CARD_1510,2025-12-08,2856352,ATM,5812,PAYMENT FOR HAIDILAO,MERC_9990
TXN_00010,CARD_1913,2025-01-28,2314748,POS,4511,PAYMENT FOR VIETNAM AIRLINES,MERC_5675
TXN_00011,CARD_0103,2025-06-06,2487837,ECOM,5812,PAYMENT FOR GOGI,MERC_8572
TXN_00012,CARD_1358,2025-02-04,4007729,POS,4121,PAYMENT FOR XANH SM TAXI,MERC_9565
TXN_00013,CARD_0907,2025-07-29,2341043,ECOM,5311,PAYMENT FOR TIKTOKSHOP,MERC_7181
TXN_00014,CARD_0725,2025-04-11,4984363,ECOM,5812,PAYMENT FOR MANWAH,MERC_1164
TXN_00015,CARD_1934,2025-01-02,2461344,ATM,5812,PAYMENT FOR MANWAH,MERC_3010
TXN_00016,CARD_0525,2025-04-01,4072147,POS,5812,PAYMENT FOR GOGI,MERC_6489
TXN_00017,CARD_1626,2025-01-16,1610869,ATM,4511,PAYMENT FOR VIETNAM AIRLINES,MERC_3943
TXN_00018,CARD_1433,2025-08-13,666921,ECOM,4121,PAYMENT FOR BE GROUP,60392750
TXN_00019,CARD_0075,2025-12-17,1922620,ECOM,4722,PAYMENT FOR TRIP.COM,MERC_1459
TXN_00020,CARD_1249,2025-09-08,449645,ATM,4121,PAYMENT FOR BE GROUP,33810000997920
TXN_00021,CARD_1758,2025-05-11,2570748,ATM,4121,PAYMENT FOR XANH SM TAXI,MERC_3398
TXN_00022,CARD_1946,2025-06-12,2268400,ATM,5812,PAYMENT FOR HAIDILAO,MERC_5075
TXN_00023,CARD_0404,2025-09-11,2689074,POS,5814,PAYMENT FOR STARBUCKS,MERC_6803
TXN_00024,CARD_1909,2025-01-18,3919499,POS,4121,PAYMENT FOR GRAB FOOD,MERC_9445
TXN_00025,CARD_0594,2025-07-16,1501213,ECOM,5732,PAYMENT FOR CELLPHONES STORE,MERC_8240
TXN_00026,CARD_0790,2025-04-24,4023770,ECOM,4121,PAYMENT FOR GRAB FOOD,MERC_5807
TXN_00027,CARD_1998,2025-01-27,1186452,POS,4722,PAYMENT FOR KLOOK,MERC_2546
TXN_00028,CARD_0244,2025-05-31,1830427,POS,5812,PAYMENT FOR MANWAH,MERC_9305
TXN_00029,CARD_0622,2025-03-14,4336042,POS,7832,PAYMENT FOR CGV CINEMA,MERC_3990
TXN_00030,CARD_0879,2025-02-16,3138374,ATM,5311,PAYMENT FOR TIKTOKSHOP,MERC_8485
TXN_00031,CARD_1609,2025-02-25,4186911,POS,4722,PAYMENT FOR TRIP.COM,MERC_9088
